Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
TAKEPROFIT6215418,245914870003,06/30/2025 12:50:27,2025-06-30,"25,000.00","25,000.00", Fund Transaction,USD,
TAKEPROFIT6215418,245914870011,07/01/2025 10:03:32,2025-07-01,-0.75,"24,999.25", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870018,07/01/2025 10:06:44,2025-07-01,-0.75,"24,998.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870021,07/01/2025 10:06:44,2025-07-01,-7.50,"24,991.00", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870032,07/01/2025 10:18:03,2025-07-01,-0.75,"24,990.25", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870038,07/01/2025 10:18:07,2025-07-01,-0.75,"24,989.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870044,07/01/2025 10:19:32,2025-07-01,-0.75,"24,988.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870050,07/01/2025 10:20:27,2025-07-01,-0.75,"24,988.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870053,07/01/2025 10:20:27,2025-07-01,142.50,"25,130.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870058,07/01/2025 10:20:30,2025-07-01,-0.75,"25,129.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870061,07/01/2025 10:20:30,2025-07-01,133.50,"25,263.25", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870066,07/01/2025 10:21:05,2025-07-01,-0.75,"25,262.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870069,07/01/2025 10:21:05,2025-07-01,-24.00,"25,238.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870074,07/01/2025 11:41:09,2025-07-01,-0.75,"25,237.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870080,07/01/2025 11:42:54,2025-07-01,-0.75,"25,237.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870083,07/01/2025 11:42:54,2025-07-01,-55.50,"25,181.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870088,07/01/2025 11:46:53,2025-07-01,-0.75,"25,180.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870094,07/01/2025 11:47:15,2025-07-01,-0.75,"25,180.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870100,07/01/2025 11:47:59,2025-07-01,-1.50,"25,178.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870104,07/01/2025 11:47:59,2025-07-01,-90.00,"25,088.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870105,07/01/2025 11:47:59,2025-07-01,-72.00,"25,016.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870110,07/01/2025 11:48:03,2025-07-01,-0.75,"25,015.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870116,07/01/2025 11:48:07,2025-07-01,-0.75,"25,015.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870122,07/01/2025 11:49:45,2025-07-01,-1.50,"25,013.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870126,07/01/2025 11:49:45,2025-07-01,-25.50,"24,988.00", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870127,07/01/2025 11:49:45,2025-07-01,13.50,"25,001.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870132,07/01/2025 11:54:44,2025-07-01,-0.75,"25,000.75", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870138,07/01/2025 11:54:45,2025-07-01,-0.75,"25,000.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870144,07/01/2025 11:55:26,2025-07-01,-1.50,"24,998.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870148,07/01/2025 11:55:26,2025-07-01,-48.00,"24,950.50", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870149,07/01/2025 11:55:26,2025-07-01,-46.50,"24,904.00", Trade Paired,USD,MNQU5
TAKEPROFIT6215418,245914870154,07/01/2025 11:55:28,2025-07-01,-0.75,"24,903.25", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870160,07/01/2025 11:55:31,2025-07-01,-0.75,"24,902.50", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870166,07/01/2025 11:55:45,2025-07-01,-1.50,"24,901.00", Commission,USD,MNQU5
TAKEPROFIT6215418,245914870170,07/01/2025 11:55:45,2025-07-01,-27.00,"24,874.00", Trade Paired,USD,MNQU5
